title,id
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,12304
DARLING in the FRANXX,21061
Ore Monogatari!!,10600
Katanagatari,835
Boku no Hero Academia 3rd Season,21879
Fruits Basket,260
Kuzu no Honkai,16216
Digimon Frontier,236
Bakuman. 2nd Season,2096
Drifters,15980
Karin,90
Gintama,277
Masamune-kun no Revenge,17176
Isekai no Seikishi Monogatari,364
D-Frag!,7609
Kami-sama no Inai Nichiyoubi,6430
Mashiroiro Symphony: Love Is Pure White,2100
Kuroshitsuji: Book of Circus,8498
Bakuman. 3rd Season,4905
Busou Renkin,155
Full Metal Panic? Fumoffu,341
Phantom: Requiem for the Phantom,543
Nejimaki Seirei Senki: Tenkyou no Alderamin,14701
Haikyuu!! Karasuno Koukou VS Shiratorizawa Gakuen Koukou,16157
Brothers Conflict,5945
Girls und Panzer,4860
Arcana Famiglia,4303
Gakusen Toshi Asterisk 2nd Season,15151
Overlord III,22854
Nanatsu no Taizai: Imashime no Fukkatsu,17872
Sekirei: Pure Engagement,1170
Kamisama Hajimemashita◎,10231
"Kono Naka ni Hitori, Imouto ga Iru!",4341
Ranma 1/2 Nettou Hen,559
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku o Ketsui Shimashita.,7011
Air,2
Maken-ki!,2099
Outbreak Company,6633
Hakushaku to Yousei,300
Kami-sama no Memo-chou,1964
Bokura wa Minna Kawaisou,7897
Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne!,4818
Afro Samurai,97
Shaman King,608
Akagami no Shirayukihime 2,13930
Baccano!,105
Love Live! School Idol Project,5374
Nekomonogatari: Kuro,5239
Myself ; Yourself,517
Haiyore! Nyaruko-san W,5868
Goblin Slayer,22602
Yu☆Gi☆Oh!,933
Himouto! Umaru-chan,13118
Shuffle!,86
Musaigen no Phantom World,14483
DN Angel,93
Binbougami ga!,4174
Blood-C,1965
Shinmai Maou no Testament Burst,11453
Mahoutsukai no Yome,18841
Hamatora The Animation,7543
Ladies versus Butlers!,152
The Legend of Korra: Book 2 - Spirits,7221
Asobi ni Iku yo!,1276
Kakegurui,18764
Durarara!!x2 Shou,9195
Kobayashi-san Chi no Maid Dragon,16656
Kotoura-san,5203
Yu☆Gi☆Oh! Duel Monsters,931
Darker than Black: Kuro no Keiyakusha Gaiden,836
Full Metal Panic! The Second Raid,72
Kanokon,176
Hitsugi no Chaika,7796
Medaka Box,3271
Uta no☆Prince-sama♪ Maji Love 2000%,5911
Koukaku no Regios,218
Quan Zhi Gao Shou,18319
Seiken no Blacksmith,691
Skip Beat!,1121
Hajime no Ippo: The Fighting!,1271
Shingeki no Bahamut Genesis,9793
Saenai Heroine no Sodatekata,9838
Togainu no Chi,1413
Dantalian no Shoka,1724
Jigoku Shoujo,718
Kimi ga Aruji de Shitsuji ga Ore de,412
Netoge no Yome wa Onnanoko ja Nai to Omotta?,14338
Arslan Senki,11450
Saijaku Muhai no Bahamut,14995
Hanbun no Tsuki ga Noboru Sora,134
Tokyo ESP,8962
Kimi no Iru Machi,6208
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,5214
Ergo Proxy,417
Cross Ange: Tenshi to Ryuu no Rondo,9831
Nogizaka Haruka no Himitsu,63
Tokyo Ghoul:re,21905
Inuyashiki,18394
Umineko no Naku Koro ni,727
Astarotte no Omocha!,1885
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,17238
Kyou Kara Maou!,294
Nagasarete Airantou,109
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,22701
Lucky☆Star,103
Natsume Yuujinchou,496
Dog Days',3979
Wolf's Rain,800
Chrono Crusade,114
Mikakunin de Shinkoukei,7709
Aoharu x Kikanjuu,11916
Hakuouki: Hekketsu-roku,2818
Working'!!,2064
Kamigami No Asobi,7738
